"File","Namespace","Kind","Static","Name","Generics","Sch","Net8"
"CoreSdkInfo.cs","HotelWise.Core.SDK","class","True","CoreSdkInfo","","SmartCoreHub.Core.SDK.Common.CoreSdkInfo","False"
"Abstractions\IEntityBase.cs","HotelWise.Core.SDK.Abstractions","interface","False","IEntityBase","","SmartCoreHub.Core.SDK.Domain.Abstractions.IEntityBase","False"
"Abstractions\IEntityBaseLog.cs","HotelWise.Core.SDK.Abstractions","interface","False","IEntityBaseLog","","SmartCoreHub.Core.SDK.Domain.Abstractions.IEntityBaseLog","False"
"Abstractions\IEntityDto.cs","HotelWise.Core.SDK.Abstractions","interface","False","IEntityDto","","SmartCoreHub.Core.SDK.Domain.Abstractions.IEntityDto","False"
"Abstractions\IEntityFieldBaseLog.cs","HotelWise.Core.SDK.Abstractions","interface","False","IEntityFieldBaseLog","","SmartCoreHub.Core.SDK.Domain.Abstractions.IEntityFieldBaseLog","False"
"Abstractions\IGenericRepository.cs","HotelWise.Core.SDK.Abstractions","interface","False","IGenericRepository","<T>","SmartCoreHub.Core.SDK.Domain.Abstractions.IGenericRepository","False"
"Abstractions\IGenericService.cs","HotelWise.Core.SDK.Abstractions","interface","False","IGenericService","<TDto>","SmartCoreHub.Core.SDK.Domain.Abstractions.IGenericService","False"
"Abstractions\IServiceResponse.cs","HotelWise.Core.SDK.Abstractions","interface","False","IServiceResponse","<T>","SmartCoreHub.Core.SDK.Domain.Abstractions.IServiceResponse","False"
"Abstractions\ITokenConfigurationDto.cs","HotelWise.Core.SDK.Abstractions","interface","False","ITokenConfigurationDto","","SmartCoreHub.Core.SDK.Domain.Abstractions.ITokenConfigurationDto","False"
"Abstractions\ITokenService.cs","HotelWise.Core.SDK.Abstractions","interface","False","ITokenService","","SmartCoreHub.Core.SDK.Domain.Abstractions.ITokenService","False"
"AI\Abstractions\IAIInference.cs","HotelWise.Core.SDK.AI.Abstractions","interface","False","IAIInferenceAdapter","","SmartCoreHub.Core.SDK.Domain.AI.Abstractions.IAIInferenceAdapter","False"
"AI\Abstractions\IAIInference.cs","HotelWise.Core.SDK.AI.Abstractions","interface","False","IAIInferenceAdapterFactory","","SmartCoreHub.Core.SDK.Domain.AI.Abstractions.IAIInferenceAdapterFactory","False"
"AI\Abstractions\IAIInference.cs","HotelWise.Core.SDK.AI.Abstractions","interface","False","IAIInferenceService","","SmartCoreHub.Core.SDK.Domain.AI.Abstractions.IAIInferenceService","False"
"AI\Abstractions\IAIInference.cs","HotelWise.Core.SDK.AI.Abstractions","interface","False","IAssistantService","","SmartCoreHub.Core.SDK.Domain.AI.Abstractions.IAssistantService","False"
"AI\Abstractions\IAiInferenceConfigBase.cs","HotelWise.Core.SDK.AI.Abstractions","interface","False","IAiInferenceConfigBase","","SmartCoreHub.Core.SDK.Domain.AI.Abstractions.IAiInferenceConfigBase","False"
"AI\Abstractions\IApplicationIAConfig.cs","HotelWise.Core.SDK.AI.Abstractions","interface","False","IApplicationIAConfig","","SmartCoreHub.Core.SDK.Domain.AI.Abstractions.IApplicationIAConfig","False"
"AI\Abstractions\IAzureAdConfig.cs","HotelWise.Core.SDK.AI.Abstractions","interface","False","IAzureAdConfig","","SmartCoreHub.Core.SDK.Domain.AI.Abstractions.IAzureAdConfig","False"
"AI\Abstractions\IDataVector.cs","HotelWise.Core.SDK.AI.Abstractions","interface","False","IDataVector","","SmartCoreHub.Core.SDK.Domain.AI.Abstractions.IDataVector","False"
"AI\Abstractions\IRagConfig.cs","HotelWise.Core.SDK.AI.Abstractions","interface","False","IRagConfig","","SmartCoreHub.Core.SDK.Domain.AI.Abstractions.IRagConfig","False"
"AI\Abstractions\IVectorStore.cs","HotelWise.Core.SDK.AI.Abstractions","interface","False","IVectorStoreAdapter","<TVector>","SmartCoreHub.Core.SDK.Domain.AI.Abstractions.IVectorStoreAdapter","False"
"AI\Abstractions\IVectorStore.cs","HotelWise.Core.SDK.AI.Abstractions","interface","False","IVectorStoreAdapterFactory","","SmartCoreHub.Core.SDK.Domain.AI.Abstractions.IVectorStoreAdapterFactory","False"
"AI\Abstractions\IVectorStore.cs","HotelWise.Core.SDK.AI.Abstractions","interface","False","IVectorStoreService","<TEntity>","SmartCoreHub.Core.SDK.Domain.AI.Abstractions.IVectorStoreService","False"
"AI\Adapters\GenericVectorStoreAdapter.cs","HotelWise.Core.SDK.AI.Adapters","class","False","GenericVectorStoreAdapter","<TVector>","SmartCoreHub.Core.SDK.Infrastructure.AI.Adapters.GenericVectorStoreAdapter","False"
"AI\Adapters\GroqApiAdapter.cs","HotelWise.Core.SDK.AI.Adapters","class","False","GroqApiAdapter","","SmartCoreHub.Core.SDK.Infrastructure.AI.Adapters.GroqApiAdapter","False"
"AI\Adapters\MistralApiAdapter.cs","HotelWise.Core.SDK.AI.Adapters","class","False","MistralApiAdapter","","SmartCoreHub.Core.SDK.Infrastructure.AI.Adapters.MistralApiAdapter","False"
"AI\Adapters\OllamaAdapter.cs","HotelWise.Core.SDK.AI.Adapters","class","False","OllamaAdapter","","SmartCoreHub.Core.SDK.Infrastructure.AI.Adapters.OllamaAdapter","False"
"AI\Adapters\SemanticKernelAdapter.cs","HotelWise.Core.SDK.AI.Adapters","class","False","SemanticKernelAdapter","","SmartCoreHub.Core.SDK.Infrastructure.AI.Adapters.SemanticKernelAdapter","False"
"AI\Configuration\AiConfigs.cs","HotelWise.Core.SDK.AI.Configuration","class","False","AiInferenceConfigBase","","SmartCoreHub.Core.SDK.Domain.AI.Configuration.AiInferenceConfigBase","False"
"AI\Configuration\AiConfigs.cs","HotelWise.Core.SDK.AI.Configuration","class","False","AzureOpenAIConfig","","SmartCoreHub.Core.SDK.Domain.AI.Configuration.AzureOpenAIConfig","False"
"AI\Configuration\AiConfigs.cs","HotelWise.Core.SDK.AI.Configuration","class","False","AzureOpenAIEmbeddingsConfig","","SmartCoreHub.Core.SDK.Domain.AI.Configuration.AzureOpenAIEmbeddingsConfig","False"
"AI\Configuration\AiConfigs.cs","HotelWise.Core.SDK.AI.Configuration","class","False","OpenAIConfig","","SmartCoreHub.Core.SDK.Domain.AI.Configuration.OpenAIConfig","False"
"AI\Configuration\AiConfigs.cs","HotelWise.Core.SDK.AI.Configuration","class","False","OpenAIEmbeddingsConfig","","SmartCoreHub.Core.SDK.Domain.AI.Configuration.OpenAIEmbeddingsConfig","False"
